conference,paper_id,doi,first_page,track,papers_with_this_track,note
28,1815,10.24928/2020/0090,241,Production System Design,2,
28,1808,10.24928/2020/0080,253,Production System Design,2,
28,1779,10.24928/2020/0036,265,"People, Culture, and Change",24,
28,1829,10.24928/2020/0119,277,"People, Culture, and Change",24,
28,1753,10.24928/2020/0002,289,"People, Culture, and Change",24,
28,1755,10.24928/2020/0006,301,"People, Culture, and Change",24,
28,1818,10.24928/2020/0094,313,"People, Culture, and Change",24,
28,1804,10.24928/2020/0073,323,"People, Culture, and Change",24,
28,1763,10.24928/2020/0018,337,"People, Culture, and Change",24,
28,1773,10.24928/2020/0029,349,"People, Culture, and Change",24,
28,1778,10.24928/2020/0035,361,"People, Culture, and Change",24,
28,1780,10.24928/2020/0038,373,"People, Culture, and Change",24,
28,1813,10.24928/2020/0087,385,"People, Culture, and Change",24,
28,1832,10.24928/2020/0124,397,"People, Culture, and Change",24,
28,1811,10.24928/2020/0084,409,Theory,10,
28,1806,10.24928/2020/0076,421,Theory,10,
28,1762,10.24928/2020/0017,433,Production System Design with Takt,3,
28,1800,10.24928/2020/0069,445,Production System Design with Takt,3,
28,1837,10.24928/2020/0135,457,Production System Design with Takt,3,
28,1788,10.24928/2020/0052,469,Production Planning and Control,12,
28,1791,10.24928/2020/0058,481,Production Planning and Control,12,
28,1793,10.24928/2020/0060,493,Production Planning and Control,12,
28,1761,10.24928/2020/0016,505,Production Planning and Control,12,
28,1814,10.24928/2020/0089,517,Production Planning and Control,12,
28,1816,10.24928/2020/0091,529,Production Planning and Control,12,
28,1830,10.24928/2020/0121,541,Production Planning and Control,12,
28,1812,10.24928/2020/0086,553,Production Planning and Control,12,
28,1758,10.24928/2020/0013,565,Production Planning and Control,12,
28,1769,10.24928/2020/0025,577,Production Planning and Control,12,
28,1756,10.24928/2020/0010,589,Production Planning and Control,12,
28,1765,10.24928/2020/0020,601,Production Planning and Control,12,
28,1831,10.24928/2020/0123,613,Supply Chain Management and Off-site,6,
28,1771,10.24928/2020/0027,625,Supply Chain Management and Off-site,6,
28,1819,10.24928/2020/0097,637,Supply Chain Management and Off-site,6,
28,1827,10.24928/2020/0115,649,Supply Chain Management and Off-site,6,
28,1774,10.24928/2020/0030,661,Supply Chain Management and Off-site,6,
28,1764,10.24928/2020/0019,673,Supply Chain Management and Off-site,6,
28,1796,10.24928/2020/0064,685,New Product Development,2,
28,1787,10.24928/2020/0050,697,New Product Development,2,
28,1770,10.24928/2020/0026,709,Contract and Cost Management,7,
28,1825,10.24928/2020/0109,733,Contract and Cost Management,7,
28,1841,10.24928/2020/0141,733,Contract and Cost Management,7,
28,1801,10.24928/2020/0070,745,Contract and Cost Management,7,
28,1834,10.24928/2020/0127,757,Contract and Cost Management,7,
28,1833,10.24928/2020/0125,769,Contract and Cost Management,7,
28,1786,10.24928/2020/0049,781,Contract and Cost Management,7,
28,1781,10.24928/2020/0039,793,Lean Sustainability,6,
28,1836,10.24928/2020/0132,805,Lean Sustainability,6,
28,1754,10.24928/2020/0005,817,Lean Sustainability,6,
28,1792,10.24928/2020/0059,829,Lean Sustainability,6,
28,1807,10.24928/2020/0077,841,Lean Sustainability,6,
28,1759,10.24928/2020/0014,853,Digital Visual Management,7,
28,1809,10.24928/2020/0082,853,Lean Sustainability,6,
28,1794,10.24928/2020/0061,865,Digital Visual Management,7,
28,1821,10.24928/2020/0103,889,Digital Visual Management,7,
28,1802,10.24928/2020/0071,901,Digital Visual Management,7,
28,1835,10.24928/2020/0131,913,Digital Visual Management,7,
28,1766,10.24928/2020/0021,925,Digital Visual Management,7,
28,1767,10.24928/2020/0022,937,Digital Visual Management,7,
28,1760,10.24928/2020/0015,949,Lean and BIM,4,
28,1785,10.24928/2020/0048,961,Lean and BIM,4,
28,1824,10.24928/2020/0108,973,Lean and BIM,4,
28,1782,10.24928/2020/0040,985,Lean and BIM,4,
28,1798,10.24928/2020/0067,997,Learning,2,
28,1820,10.24928/2020/0099,1009,Learning,2,
28,1757,10.24928/2020/0012,1021,Simulation,4,
28,1768,10.24928/2020/0023,1033,Simulation,4,
28,1826,10.24928/2020/0110,1045,Simulation,4,
28,1784,10.24928/2020/0047,1057,Simulation,4,
33,2324,10.24928/2025/0128,1,Lean Theory,7,
33,2343,10.24928/2025/0152,13,Lean Theory,7,
33,2363,10.24928/2025/0188,25,Lean Theory,7,
33,2439,10.24928/2025/0299,37,Lean Theory,7,
33,2377,10.24928/2025/0206,48,Lean Theory,7,
33,2400,10.24928/2025/0243,59,Lean Theory,7,
33,2339,10.24928/2025/0145,70,Lean Theory,7,
33,2384,10.24928/2025/0218,82,Contract and Cost Management,6,
33,2312,10.24928/2025/0112,93,Contract and Cost Management,6,
33,2399,10.24928/2025/0240,105,Contract and Cost Management,6,
33,2337,10.24928/2025/0143,117,Contract and Cost Management,6,
33,2341,10.24928/2025/0150,129,Contract and Cost Management,6,
33,2311,10.24928/2025/0111,141,Contract and Cost Management,6,
33,2336,10.24928/2025/0142,153,"Product Development, Value and Design Management",13,
33,2338,10.24928/2025/0144,164,"Product Development, Value and Design Management",13,
33,2420,10.24928/2025/0275,176,"Product Development, Value and Design Management",13,
33,2431,10.24928/2025/0290,187,"Product Development, Value and Design Management",13,
33,2423,10.24928/2025/0278,199,"Product Development, Value and Design Management",13,
33,2434,10.24928/2025/0293,211,"Product Development, Value and Design Management",13,
33,2414,10.24928/2025/0268,221,"Product Development, Value and Design Management",13,
33,2426,10.24928/2025/0283,234,"Product Development, Value and Design Management",13,
33,2421,10.24928/2025/0276,246,"Product Development, Value and Design Management",13,
33,2430,10.24928/2025/0289,258,"Product Development, Value and Design Management",13,
